Date,MKT,SMB,HML,RMW,CMA
20130903,0.46,0.06,0.1,-0.48,-0.23
20130904,0.83,-0.01,-0.15,-0.12,0.09
20130905,0.19,0.2,0.37,-0.19,-0.08
20130906,0.01,0,0,-0.18,-0.09
20130909,1.09,0.42,-0.22,-0.2,-0.14
20130910,0.8,0.06,0.21,-0.16,0.04
20130911,0.28,-0.24,0.01,0.25,0.15
20130912,-0.32,-0.28,-0.34,0.13,-0.15
20130913,0.29,0.26,-0.01,0.18,0.24
20130916,0.49,-0.39,0.4,-0.02,0.39
20130917,0.54,0.42,-0.13,-0.34,-0.22
20130918,1.1,-0.24,-0.45,-0.02,-0.18
20130919,-0.13,0.09,-0.6,0.1,-0.29
20130920,-0.63,0.51,0.18,-0.07,-0.17
20130923,-0.45,0.42,-0.37,0.61,-0.23
20130924,-0.12,0.5,0.01,-0.15,0
20130925,-0.23,0.11,0.58,-0.41,0.03
20130926,0.42,0.15,-0.73,0.16,-0.32
20130927,-0.39,-0.01,-0.06,0.07,-0.12
20130930,-0.49,0.51,0.06,0.16,0.04
20131001,0.9,0.37,-0.13,-0.13,-0.22
20131002,-0.1,-0.34,-0.08,-0.1,-0.08
20131003,-0.88,-0.17,0.2,0.06,0.23
20131004,0.74,0,0.1,-0.27,-0.14
20131007,-0.95,-0.29,0,0.11,0.19
20131008,-1.35,-0.4,0.76,0.64,0.55
20131009,-0.05,-0.35,0.62,0.43,0.34
20131010,2.23,0.19,-0.02,-0.34,-0.28
20131011,0.71,0.77,0,0.1,-0.1
20131014,0.44,0.21,-0.11,0.08,-0.15
20131015,-0.73,-0.17,0.01,0.29,-0.14
20131016,1.37,-0.3,0.14,-0.55,-0.1
20131017,0.7,0.12,0.04,-0.16,0.07
20131018,0.73,0.27,-0.05,-0.09,-0.49
20131021,-0.02,-0.13,0.05,0.29,0.02
20131022,0.5,-0.28,0.09,0.24,0.35
20131023,-0.51,0.15,-0.33,0.55,0.21
20131024,0.42,0.35,-0.3,-0.04,-0.16
20131025,0.33,-0.33,0.14,0.16,0.04
20131028,0.09,-0.07,0.02,0.37,0.17
20131029,0.54,-0.14,-0.11,0.08,0.29
20131030,-0.61,-0.75,0.49,0.47,0.05
20131031,-0.34,-0.11,-0.43,0.34,0.15
20131101,0.2,-0.65,0.22,0.18,0.29
20131104,0.47,0.75,-0.03,0.08,-0.04
20131105,-0.23,-0.01,-0.25,0.23,-0.11
20131106,0.27,-0.81,0.38,0.27,0.18
20131107,-1.46,-0.33,0.19,0.13,0.32
20131108,1.45,0.6,0.41,-0.52,-0.07
20131111,0.12,0.05,-0.13,0,-0.03
20131112,-0.19,0.33,-0.7,0.54,0.13
20131113,0.9,0.06,-0.12,-0.39,-0.21
20131114,0.43,-0.57,0.31,-0.09,0.03
20131115,0.43,0.06,-0.27,0.03,-0.05
20131118,-0.5,-0.38,0.45,0.44,0.29
20131119,-0.27,-0.29,0.26,0.04,0
20131120,-0.33,0.26,0.03,-0.01,-0.03
20131121,0.97,0.82,-0.06,-0.48,-0.3
20131122,0.5,-0.09,0.11,-0.09,-0.04
20131125,-0.11,0.16,0.14,0,0.25
20131126,0.18,0.8,-0.48,-0.34,-0.39
20131127,0.3,0.33,-0.06,0.07,0.01
20131129,-0.02,0.26,-0.17,-0.01,-0.18
20131202,-0.31,-0.93,0.16,-0.03,0.01
20131203,-0.34,-0.13,-0.09,0.17,-0.03
20131204,-0.07,-0.21,0.26,-0.37,-0.14
20131205,-0.35,0.6,-0.63,0.04,-0.44
20131206,1.02,-0.28,0.2,-0.02,0.46
20131209,0.17,-0.42,0,-0.03,0.04
20131210,-0.34,-0.53,0.2,-0.03,-0.05
20131211,-1.16,-0.35,0.05,0.56,0.11
20131212,-0.23,0.38,0.25,-0.3,-0.06
20131213,0.1,0.22,-0.01,-0.3,0.19
20131216,0.67,0.58,-0.14,0.13,-0.04
20131217,-0.26,0.14,-0.16,-0.16,-0.14
20131218,1.55,-0.42,0.04,-0.03,0.31
20131219,-0.1,-0.5,0.16,-0.07,0.1
20131220,0.69,1.25,-0.3,-0.23,-0.42
20131223,0.62,0.49,-0.05,-0.22,-0.15
20131224,0.34,0.11,0.11,-0.04,0.16
20131226,0.44,-0.33,-0.31,0.2,0.07
20131227,-0.05,-0.03,0.23,0.09,0.24
20131230,0,0.03,-0.3,0.14,0.08
20131231,0.44,-0.16,0.04,-0.03,-0.21
20140102,-0.88,-0.24,0.11,-0.33,0.11
20140103,0.03,0.41,0.04,-0.32,0.14
20140106,-0.34,-0.55,0.26,-0.35,0.06
20140107,0.68,0.33,-0.41,-0.07,-0.29
20140108,0.04,0.01,-0.12,-0.54,-0.04
20140109,0.02,0.16,-0.38,-0.51,-0.41
20140110,0.27,0.45,-0.77,-0.31,-0.31
20140113,-1.32,-0.1,0.1,-0.1,0.47
20140114,1.15,0.14,-0.38,-0.07,-0.36
20140115,0.53,0.22,0.2,-0.38,-0.01
20140116,-0.07,0.24,-0.68,0,-0.27
20140117,-0.39,0.02,0.04,-0.2,0.02
20140121,0.3,0.43,-0.01,-0.22,-0.35
20140122,0.15,0.28,0.21,-0.19,-0.17
20140123,-0.86,0.09,-0.5,0.17,-0.08
20140124,-2.19,-0.39,0.22,0.26,0.06
20140127,-0.65,-0.8,0.46,0.4,0.4
20140128,0.73,0.18,-0.02,-0.82,0.16
20140129,-1.07,-0.35,0.25,0.14,0.15
20140130,1.22,0.23,-0.42,-0.93,-0.54
20140131,-0.66,-0.1,-0.39,0.19,-0.19
20140203,-2.48,-0.87,0.32,0.19,0.03
20140204,0.77,-0.07,-0.1,-0.12,0.22
20140205,-0.23,-0.57,0.2,0.16,0.22
20140206,1.21,-0.43,0.23,0.09,-0.07
20140207,1.33,-0.23,-0.67,-0.46,-0.51
20140210,0.16,0.07,-0.44,-0.27,-0.18
20140211,1.09,-0.18,0.24,-0.03,0.1
